country,mode,model,mean_train_f1,mean_train_accuracy,mean_train_roc_auc,mean_train_specificity,mean_train_sensitivity,tp,tn,fp,fn,roc,sensitivity,specificity,f1,accuracy,best_params,is_SMOTE,refit
ML2006,sparse,Cost-sensitive MLP,0.930603187,0.871480076,0.761289044,0.073890063,0.987221205,618,10,86,22,0.534895833,0.965625,0.104166667,0.919642857,0.85326087,{'alpha': 0.0001},no,accuracy
NG2018,sparse,Cost-sensitive Ridge,0.769196462,0.67107315,0.76295263,0.723906486,0.660902256,391,92,20,202,0.740393881,0.659359191,0.821428571,0.778884462,0.685106383,{'alpha': 1e-08},no,accuracy
NG2018,sparse,Cost-sensitive Decision Tree,0.760381019,0.659111561,0.714905335,0.704449472,0.65037594,360,91,21,233,0.709791315,0.607082631,0.8125,0.739219713,0.639716312,{'criterion': 'gini'},no,accuracy
NG2018,sparse,Cost-sensitive Nearest Neighbor,0.881340816,0.797742198,0.702757034,0.288235294,0.896240602,531,45,67,62,0.648616297,0.89544688,0.401785714,0.891687657,0.817021277,{'n_neighbors': 8},no,accuracy
NG2018,sparse,Cost-sensitive MLP,0.907998547,0.831761998,0.759109453,0.007767722,0.990977444,593,0,112,0,0.5,1,0,0.913713405,0.841134752,{'alpha': 0.1},no,accuracy
NG2018,sparse+contextual,Cost-sensitive Ridge,0.766955909,0.664773922,0.7454934,0.680316742,0.661654135,388,92,20,205,0.73786437,0.654300169,0.821428571,0.775224775,0.680851064,{'alpha': 1e-08},no,accuracy
NG2018,sparse+contextual,Cost-sensitive Decision Tree,0.849741495,0.751104101,0.565363352,0.291779789,0.839849624,507,41,71,86,0.610523067,0.854974705,0.366071429,0.865926558,0.777304965,{'criterion': 'gini'},no,accuracy
NG2018,sparse+contextual,Cost-sensitive Nearest Neighbor,0.892607586,0.809725612,0.648343568,0.112820513,0.944360902,560,26,86,33,0.588246808,0.944350759,0.232142857,0.903954802,0.831205674,{'n_neighbors': 8},no,accuracy
NG2018,sparse+contextual,Cost-sensitive MLP,0.901530598,0.826732536,0.717189609,0.206485671,0.946616541,574,14,98,19,0.546479764,0.967959528,0.125,0.907509881,0.834042553,{'alpha': 0.0001},no,accuracy
NG2018,all,Cost-sensitive Ridge,0.769681995,0.670460092,0.756658757,0.735294118,0.657894737,394,88,24,199,0.725066249,0.664418212,0.785714286,0.779426311,0.683687943,{'alpha': 1e-08},no,accuracy
NG2018,all,Cost-sensitive Decision Tree,0.863202566,0.770644604,0.575028777,0.284087481,0.864661654,514,44,68,79,0.629818116,0.866779089,0.392857143,0.874893617,0.791489362,{'criterion': 'gini'},no,accuracy
NG2018,all,Cost-sensitive Nearest Neighbor,0.893814115,0.81285241,0.642697524,0.15173454,0.940601504,565,16,96,28,0.547819802,0.952782462,0.142857143,0.901116427,0.824113475,{'n_neighbors': 8},no,accuracy
NG2018,all,Cost-sensitive MLP,0.899729613,0.822947047,0.695310533,0.174962293,0.948120301,567,21,91,26,0.571827572,0.956155143,0.1875,0.90647482,0.834042553,{'alpha': 0.05},no,accuracy
NG2008,sparse,Cost-sensitive Ridge,0.766524827,0.701253682,0.739107899,0.71337975,0.69619636,702,309,109,302,0.719218819,0.699203187,0.73923445,0.773553719,0.710970464,{'alpha': 1e-08},no,accuracy
NG2008,sparse,Cost-sensitive Decision Tree,0.735818632,0.673714824,0.729451078,0.742433074,0.644976893,662,320,98,342,0.712456395,0.65936255,0.765550239,0.750566893,0.690576653,{'criterion': 'gini'},no,accuracy
NG2008,sparse,Cost-sensitive Nearest Neighbor,0.788611765,0.705849736,0.696781401,0.529727979,0.779519004,783,239,179,221,0.675825407,0.779880478,0.571770335,0.7965412,0.718706048,{'n_neighbors': 8},no,accuracy
NG2008,sparse,Cost-sensitive MLP,0.803903546,0.710741298,0.734127899,0.396729275,0.84203433,869,146,272,135,0.607410073,0.865537849,0.349282297,0.81025641,0.713783404,{'alpha': 0.0001},no,accuracy
IA2006,all,Ridge,0.941265814,0.889048336,0.639716126,0,1,2387,0,318,0,0.5,1,0,0.937549097,0.882439926,{'alpha': 1e-08},no,accuracy
IA2006,all,Decision Tree,0.890003419,0.805196312,0.54933841,0.153792395,0.886499188,2141,54,264,246,0.533376544,0.896941768,0.169811321,0.893572621,0.811460259,{'criterion': 'gini'},no,accuracy
IA2006,all,Nearest Neighbor,0.9354432,0.879165443,0.586507612,0.033062693,0.984759471,2337,7,311,50,0.500532892,0.979053205,0.022012579,0.928301887,0.866543438,{'n_neighbors': 8},no,accuracy
IA2006,all,MLP,0.941643528,0.889845403,0.654927189,0.010071942,0.999641416,2384,2,316,3,0.50251625,0.998743192,0.006289308,0.937291134,0.88207024,{'alpha': 0.1},no,accuracy
ML2006,all,Ridge,0.932330525,0.873239607,0.755937117,0,1,640,0,96,0,0.5,1,0,0.930232558,0.869565217,{'alpha': 1e-08},no,accuracy
ML2006,all,Decision Tree,0.881283894,0.796363636,0.586555644,0.319344609,0.865597813,561,24,72,79,0.56328125,0.8765625,0.25,0.881382561,0.794836957,{'criterion': 'entropy'},no,accuracy
ML2006,all,Nearest Neighbor,0.921034382,0.855637399,0.666780943,0.10179704,0.965062256,615,9,87,25,0.52734375,0.9609375,0.09375,0.916542474,0.847826087,{'n_neighbors': 8},no,accuracy
ML2006,all,MLP,0.92757038,0.867377954,0.726943025,0.134249471,0.973789348,617,13,83,23,0.549739583,0.9640625,0.135416667,0.920895522,0.855978261,{'alpha': 0.05},no,accuracy
NG2008,all,Ridge,0.818501051,0.727579602,0.763499459,0.382135147,0.871952278,880,154,264,124,0.622457538,0.876494024,0.368421053,0.819366853,0.727144866,{'alpha': 1e-08},no,accuracy
NG2008,all,Decision Tree,0.741775534,0.652586744,0.636666114,0.519117012,0.708332547,740,216,202,264,0.626899102,0.737051793,0.516746411,0.76053443,0.672292546,{'criterion': 'entropy'},no,accuracy
